drought_region_id,year_month,saturation_ratio
31,2021-10,0.8732500000000001
31,2021-11,0.9214
31,2021-12,0.9735
31,2022-01,0.9644
31,2022-02,0.962
31,2022-03,0.78925
31,2022-04,0.901
31,2022-05,0.6952
31,2022-06,0.51925
31,2022-07,0.32025
31,2022-08,0.2844
31,2022-09,0.771
31,2022-10,0.9014
31,2022-11,0.94225
31,2022-12,0.95675
31,2023-01,0.967
31,2023-02,0.91925
31,2023-03,0.958
31,2023-04,0.964
31,2023-05,0.8550000000000001
31,2023-06,0.30174999999999996
31,2023-07,0.47640000000000005
31,2023-08,0.5667500000000001
31,2023-09,0.54925
31,2023-10,0.5664
31,2023-11,0.955
31,2023-12,0.983
31,2024-01,0.9772000000000001
31,2024-02,0.96575
31,2024-03,0.9692500000000001
31,2024-04,0.9262
31,2024-05,0.9575
31,2024-06,0.9505
31,2024-07,0.8385999999999999
31,2024-08,0.5747500000000001
31,2024-09,0.841
31,2024-10,0.9572499999999999
31,2024-11,0.9530000000000001
31,2024-12,
31,2025-01,0.9732500000000001
31,2025-02,0.96375
31,2025-03,0.9248000000000001
31,2025-04,0.8475
31,2025-05,0.8634999999999999
31,2025-06,0.64
31,2025-07,0.6535
31,2025-08,0.70125
31,2025-09,0.9388
31,2025-10,0.9535
31,2025-11,0.97225
31,2025-12,0.96575
32,1990-12,
32,1991-01,1.0
32,1991-02,1.0
32,1991-03,1.0
32,1991-04,0.95
32,1991-05,0.8925000000000001
32,1991-06,0.9375
32,1991-07,0.7798
32,1991-08,0.39725
32,1991-09,0.5438000000000001
32,1991-10,0.97025
32,1991-11,0.99725
32,1991-12,0.9992000000000001
32,1992-01,0.99975
32,1992-02,1.0
32,1992-03,0.9952
32,1992-04,0.98975
32,1992-05,0.62475
32,1992-06,0.9512
32,1992-07,0.88125
32,1992-08,0.3926
32,1992-09,0.8405
32,1992-10,0.9622499999999999
32,1992-11,1.0
32,1992-12,1.0
32,1993-01,0.9992500000000001
32,1993-02,0.9955
