region_id,year,mean_moisture
35,2001,0.9853396226415094
35,2002,0.9853846153846154
35,2003,0.9409038461538461
35,2004,0.9825769230769231
35,2005,0.9808846153846154
35,2006,0.9589038461538462
35,2007,0.9809811320754718
35,2008,0.9804615384615385
35,2009,0.9636153846153845
35,2010,0.9861730769230769
35,2011,0.9437115384615384
35,2012,0.9693584905660377
35,2013,0.9676346153846154
35,2014,0.9831346153846153
35,2015,0.9325576923076924
35,2016,0.977173076923077
35,2017,0.9598653846153847
35,2018,0.9106603773584906
35,2019,0.9569615384615384
35,2020,0.9553653846153847
35,2021,0.9695576923076923
35,2022,0.891
35,2023,0.9283461538461538
35,2024,0.9830416666666667
35,2025,0.9543137254901961
36,1990,
36,1991,0.9315769230769231
36,1992,0.9404038461538462
36,1993,0.9754423076923077
36,1994,0.9634230769230769
36,1995,0.9528269230769231
36,1996,0.971566037735849
36,1997,0.9672499999999999
36,1998,0.9141730769230769
36,1999,0.9698076923076923
36,2000,0.9668653846153846
36,2001,0.9736226415094339
36,2002,0.9752884615384616
36,2003,0.9005
36,2004,0.9606538461538462
36,2005,0.9561346153846154
36,2006,0.9382307692307692
36,2007,0.971811320754717
36,2008,0.9682884615384615
36,2009,0.9267115384615384
36,2010,0.9556538461538462
36,2011,0.9290961538461538
36,2012,0.954811320754717
36,2013,0.9558076923076922
36,2014,0.9698846153846153
36,2015,0.9006923076923077
36,2016,0.9659423076923077
36,2017,0.9146153846153846
36,2018,0.8448867924528302
36,2019,0.9256923076923077
36,2020,0.9162307692307692
36,2021,0.9527692307692307
36,2022,0.8474615384615384
36,2023,0.8822115384615384
36,2024,0.9583333333333334
36,2025,0.9047058823529411
37,1990,
37,1991,0.8930961538461539
37,1992,0.9143461538461538
37,1993,0.9775961538461538
37,1994,0.9476346153846154
37,1995,0.9430384615384616
37,1996,0.9594150943396227
37,1997,0.9378846153846154
37,1998,0.8837884615384616
37,1999,0.9634615384615385
37,2000,0.9589615384615384
37,2001,0.9702075471698113
37,2002,0.9619423076923077
37,2003,0.7949615384615385
37,2004,0.9478076923076924
37,2005,0.9312499999999999
37,2006,0.9220961538461538
37,2007,0.9579622641509433
